epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9635,1.79513,2.76286,1.77188,0.40994,0.30091,0.25238,0.11641,1.9044,6.518,1.94603,0.0679706,0.000323529,0.000323529
2,145.838,1.67857,1.84513,1.64898,0.24564,0.2293,0.1831,0.08694,1.93859,5.26893,2.24507,0.0349704,0.000656702,0.000656702
3,197.595,1.68878,1.78427,1.7114,0.15726,0.54971,0.20653,0.07548,1.7795,9.76662,2.40446,0.00196962,0.000989229,0.000989229
4,263.019,1.72325,1.77501,1.7249,0.26299,0.26479,0.13204,0.05402,2.53682,3.52228,3.40725,0.000997803,0.000997803,0.000997803
5,316.96,1.7097,1.74348,1.68963,0.41897,0.44586,0.35,0.16025,1.85392,4.06288,2.05928,0.000996097,0.000996097,0.000996097
6,377.785,1.6766,1.69044,1.66262,0.63109,0.53503,0.56927,0.27817,1.73746,2.73757,1.8257,0.000993906,0.000993906,0.000993906
7,448.372,1.6851,1.71701,1.67209,0.4722,0.46158,0.42548,0.20963,1.79485,2.45308,1.87942,0.000991232,0.000991232,0.000991232
8,523.792,1.61736,1.58562,1.59889,0.53111,0.62102,0.57015,0.29537,1.64831,3.02471,1.72022,0.000988079,0.000988079,0.000988079
9,588.995,1.57116,1.60125,1.59634,0.61852,0.56051,0.58369,0.30788,1.59261,2.38649,1.70194,0.000984449,0.000984449,0.000984449
10,656.133,1.63318,1.62876,1.63159,0.57932,0.51592,0.55983,0.26581,1.72908,1.87282,1.77577,0.000980345,0.000980345,0.000980345
11,718.632,1.57543,1.56875,1.59954,0.6367,0.51592,0.57998,0.33475,1.54138,1.62581,1.6691,0.000975773,0.000975773,0.000975773
12,780.638,1.54273,1.499,1.55188,0.57687,0.58599,0.59627,0.32797,1.51397,1.85323,1.61749,0.000970736,0.000970736,0.000970736
13,848.653,1.54814,1.55388,1.58047,0.63631,0.6051,0.62526,0.33022,1.58391,1.72324,1.66739,0.000965239,0.000965239,0.000965239
14,907.66,1.52701,1.45654,1.52912,0.71572,0.55096,0.62238,0.34812,1.52765,1.49603,1.62723,0.000959289,0.000959289,0.000959289
